,Date,Evening Blend,Lunchtime
896,01/01/2024,167342,117821
897,02/01/2024,167426,117734
898,03/01/2024,167268,117659
899,04/01/2024,167262,117570
900,05/01/2024,167188,117497
901,06/01/2024,167173,117479
902,07/01/2024,167299,117462
903,08/01/2024,167485,117406
904,09/01/2024,167380,117350
905,10/01/2024,167402,117295
906,11/01/2024,167475,117230
907,12/01/2024,167477,117195
908,13/01/2024,167484,117185
909,14/01/2024,167590,117180
910,15/01/2024,167668,117159
911,16/01/2024,167406,117272
912,17/01/2024,167266,117363
913,18/01/2024,167480,117807
914,19/01/2024,167511,118081
915,20/01/2024,167372,118167
916,21/01/2024,167350,118287
917,22/01/2024,167363,118362
918,23/01/2024,167205,118450
919,24/01/2024,167115,118561
920,25/01/2024,166928,118692
921,26/01/2024,166909,118843
922,27/01/2024,166769,118910
923,28/01/2024,166752,119024
